Strategy,DataSize,TimeElapsed(s),FindCount,UnionCount,AvgPathLength,MaxPathLength,FinalSetCount
No Compression,1000,0.000258,3996,1598,1.29,5,47
Full Compression,1000,0.000255,3996,1598,0.85,5,34
Path Halving,1000,0.000242,3998,1599,0.90,4,51
Path Splitting,1000,0.000233,3998,1599,0.86,4,42
No Compression,5000,0.001525,19998,7999,1.38,5,234
Full Compression,5000,0.001363,19998,7999,0.86,4,244
Path Halving,5000,0.001308,19998,7999,0.91,5,231
Path Splitting,5000,0.001274,19992,7996,0.87,4,221
No Compression,10000,0.002488,39998,15999,1.41,7,452
Full Compression,10000,0.002574,39998,15999,0.87,4,443
Path Halving,10000,0.002413,39998,15999,0.91,5,472
Path Splitting,10000,0.002544,39996,15998,0.88,5,430
No Compression,50000,0.014588,199996,79998,1.41,7,2203
Full Compression,50000,0.014719,199992,79996,0.87,5,2203
Path Halving,50000,0.012926,199996,79998,0.91,5,2137
Path Splitting,50000,0.013032,199998,79999,0.88,5,2295
No Compression,10000,0.002398,39998,9999,0.50,1,1
Full Compression,10000,0.002682,39998,9999,0.50,1,1
Path Halving,10000,0.002308,39998,9999,0.50,1,1
Path Splitting,10000,0.002343,39998,9999,0.50,1,1
